"";"country";"points";"intl_commitment";"legislation";"ability_trade";"ability_financing";"enforcement";"year";"stateabb";"ccode"
"231";"South Korea";812;92;183;117;82;338;2017;"ROK";732
"232";"Croatia";807;82;195;116;80;334;2017;"CRO";344
"233";"Romania";782;82;196;103;103;299;2017;"ROM";360
"234";"Switzerland";769;86;192;133;80;278;2017;"SWZ";225
"235";"Cyprus";749;67;197;84;109;291;2017;"CYP";352
"236";"Bulgaria";713;80;195;101;100;237;2017;"BUL";355
"237";"Greece";701;86;196;97;96;225;2017;"GRC";350
"238";"Argentina";661;90;194;83;-40;334;2017;"ARG";160
"239";"Israel";655;42;137;96;155;224;2017;"ISR";666
"240";"Liechtenstein";647;49;169;88;91;250;2017;"LIE";223
"241";"South Africa";642;86;198;117;-49;289;2017;"SAF";560
"242";"Mexico";616;80;181;114;31;211;2017;"MEX";70
"243";"Brazil";614;76;150;103;38;248;2017;"BRA";140
"244";"Turkey";607;90;195;116;36;171;2017;"TUR";640
"245";"Kazakhstan";598;73;163;71;10;280;2017;"KZK";705
"246";"Monaco";593;45;123;54;181;190;2017;"MNC";221
"247";"India";562;59;166;110;-21;248;2017;"IND";750
"248";"Yugoslavia";541;65;193;110;-135;306;2017;"YUG";345
"249";"China";493;67;197;118;-37;148;2017;"CHN";710
"250";"Pakistan";420;37;193;106;-110;194;2017;"PAK";770
"251";"Taiwan";395;0;137;80;0;177;2017;"TAW";713
"252";"Ukraine";381;82;170;106;-184;207;2017;"UKR";369
"253";"Russia";356;78;178;94;-131;137;2017;"RUS";365
"254";"Belarus";335;65;177;95;-143;141;2017;"BLR";370
"255";"Egypt";238;34;132;75;-119;116;2017;"EGY";651
"256";"Iran";-141;35;94;68;-321;-17;2017;"IRN";630
"257";"North Korea";-349;12;0;31;-272;-120;2017;"PRK";731
"258";"Singapore";872;71;177;126;158;340;2017;"SIN";830
"259";"Malaysia";681;57;183;94;39;308;2017;"MAL";820
"260";"Malawi";671;59;116;88;168;239;2017;"MAW";553
"261";"Zambia";645;55;116;120;114;239;2017;"ZAM";551
"262";"Moldova";645;61;193;113;17;261;2017;"MLD";359
"263";"Albania";639;55;193;82;91;219;2017;"ALB";339
"264";"Jamaica";598;55;147;122;7;268;2017;"JAM";51
"265";"United Arab Emirates";589;57;153;112;2;266;2017;"UAE";696
"266";"Armenia";584;53;147;107;132;144;2017;"ARM";371
"267";"Kyrgyzstan";584;55;177;74;28;249;2017;"KYR";703
"268";"Chile";581;67;102;97;117;197;2017;"CHL";155
"269";"Azerbaijan";562;61;170;90;22;219;2017;"AZE";373
"270";"Bangladesh";553;51;143;92;76;191;2017;"BNG";771
"271";"Georgia";536;57;141;69;27;242;2017;"GRG";372
"272";"Mongolia";528;63;113;92;35;224;2017;"MON";712
"273";"Namibia";504;53;108;87;88;168;2017;"NAM";565
"274";"Uzbekistan";500;57;110;58;83;192;2017;"UZB";704
"275";"Panama";500;69;110;85;17;218;2017;"PAN";95
"276";"Philippines";484;63;158;96;-53;220;2017;"PHI";840
"277";"Costa Rica";479;63;142;69;-20;225;2017;"COS";94
"278";"Bahamas";478;51;85;59;94;190;2017;"BHM";31
"279";"Qatar";475;55;110;105;61;143;2017;"QAT";694
"280";"Ghana";469;57;155;108;-23;173;2017;"GHA";452
"281";"Brunei";441;47;104;77;20;192;2017;"BRU";835
"282";"Saudi Arabia";431;53;96;84;28;170;2017;"SAU";670
"283";"Thailand";424;49;150;118;-149;256;2017;"THI";800
"284";"Ethiopia";423;43;139;40;-2;203;2017;"ETH";530
"285";"Bosnia and Herzegovina";422;57;162;86;-41;157;2017;"BOS";346
"286";"Niger";411;49;90;85;64;123;2017;"NIR";436
"287";"Hong Kong";409;22;122;79;79;107;2017;NA;NA
"288";"Tunisia";404;59;88;72;-18;202;2017;"TUN";616
"289";"Dominican Republic";400;69;93;85;-70;223;2017;"DOM";42
"290";"Algeria";397;55;121;86;-42;178;2017;"ALG";615
"291";"Nicaragua";391;57;143;63;-52;180;2017;"NIC";93
"292";"Vanuatu";391;53;83;61;79;116;2017;"VAN";935
"293";"Madagascar";388;59;86;85;4;154;2017;"MAG";580
"294";"Peru";387;67;108;62;-15;165;2017;"PER";135
"295";"Venezuela";379;45;114;52;69;99;2017;"VEN";101
"296";"Tajikistan";376;53;133;49;-73;215;2017;"TAJ";702
"297";"Tanzania";356;54;100;86;-47;163;2017;"TAZ";510
"298";"Ecuador";350;61;100;60;-54;183;2017;"ECU";130
"299";"Oman";342;47;82;82;13;118;2017;"OMA";698
"300";"Colombia";341;61;73;75;17;114;2017;"COL";100
"301";"Indonesia";331;65;92;109;-76;140;2017;"INS";850
"302";"Sri Lanka";322;47;100;71;-106;210;2017;"SRI";780
"303";"Laos";313;39;129;93;-66;119;2017;"LAO";812
"304";"Nigeria";308;59;105;68;-87;163;2017;"NIG";475
"305";"Morocco";301;61;108;73;-121;179;2017;"MOR";600
"306";"Uganda";288;51;100;78;-89;148;2017;"UGA";500
"307";"Kuwait";281;61;87;84;-47;97;2017;"KUW";690
"308";"Paraguay";273;67;92;60;-118;171;2017;"PAR";150
"309";"Vietnam";268;61;128;67;-76;88;2017;"DRV";816
"310";"Lebanon";235;49;127;72;-196;183;2017;"LEB";660
"311";"Afghanistan";57;53;92;38;-180;54;2017;"AFG";700
"312";"Libya";39;61;102;53;-189;11;2017;"LIB";620
"313";"Syria";-56;34;75;63;-133;-95;2017;"SYR";652
"314";"Iraq";-62;57;92;66;-331;54;2017;"IRQ";645
"315";"San Marino";736;49;177;63;166;280;2017;"SNM";331
"316";"Macedonia";688;59;172;83;179;195;2017;"MAC";343
"317";"Mauritius";674;55;113;80;173;252;2017;"MAS";590
"318";"Andorra";663;47;154;81;141;240;2017;"AND";232
"319";"Solomon Islands";620;35;121;64;173;227;2017;"SOL";940
"320";"Montenegro";615;63;194;84;-25;299;2017;"MNG";341
"321";"Burkina Faso";593;51;113;96;127;206;2017;"BFO";439
"322";"Antigua and Barbuda";584;63;85;84;128;224;2017;NA;NA
"323";"Guatemala";560;55;146;111;55;194;2017;"GUA";90
"324";"Jordan";538;63;136;111;-12;239;2017;"JOR";663
"325";"Lesotho";536;51;90;79;141;175;2017;"LES";570
"326";"Botswana";536;43;132;81;115;165;2017;"BOT";571
"327";"East Timor";532;29;113;55;101;234;2017;"ETM";860
"328";"Gabon";522;61;139;79;68;174;2017;"GAB";481
"329";"Cameroon";521;51;109;72;113;176;2017;"CAO";471
"330";"Uruguay";519;61;86;100;94;177;2017;"URU";165
"331";"Samoa";519;41;113;69;119;176;2017;"WSM";990
"332";"Fiji";518;61;113;88;121;134;2017;"FIJ";950
"333";"Tonga";512;41;77;79;139;176;2017;"TON";955
"334";"Grenada";495;33;90;62;110;200;2017;"GRN";55
"335";"Bahrain";494;63;90;80;123;138;2017;"BAH";692
"336";"Saintn Lucia";488;51;108;67;46;216;2017;NA;NA
"337";"Nauru";487;33;98;45;131;181;2017;"NAU";970
"338";"Sierra Leone";477;43;144;73;-19;236;2017;"SIE";451
"339";"Trinidad and Tobago";472;53;95;101;40;183;2017;"TRI";52
"340";"Cape Verde";464;33;96;71;53;211;2017;"CAP";402
"341";"Bhutan";453;24;106;67;136;120;2017;"BHU";760
"342";"Cuba";447;55;104;91;24;173;2017;"CUB";40
"343";"Palau";444;45;83;37;133;147;2017;"PAL";986
"344";"Swaziland";442;45;108;54;30;204;2017;"SWA";572
"345";"Barbados";441;39;90;52;97;163;2017;"BAR";53
"346";"Mauritania";435;59;107;67;34;168;2017;"MAA";435
"347";"El Salvador";421;63;140;57;-38;200;2017;"SAL";92
"348";"Seychelles";420;55;106;46;31;182;2017;"SEY";591
"349";"Suriname";418;31;90;80;17;199;2017;"SUR";115
"350";"Maldives";406;37;77;73;75;144;2017;"MAD";781
"351";"Dominica";402;45;100;54;8;195;2017;"DMA";54
"352";"Honduras";388;61;118;59;11;139;2017;"HON";91
"353";"Gambia";384;43;83;61;79;119;2017;"GAM";420
"354";"Djibouti";379;55;108;63;-19;173;2017;"DJI";522
"355";"Togo";379;51;100;68;97;63;2017;"TOG";461
"356";"Sao Tome and Principe";377;27;85;64;84;117;2017;"STP";403
"357";"Saint Vincent and the Grenadines";377;41;85;53;50;148;2017;NA;NA
"358";"Mali";376;55;103;54;-8;173;2017;"MLI";432
"359";"Saint Kitts and Nevis";374;41;83;47;34;169;2017;NA;NA
"360";"Liberia";373;39;88;89;6;151;2017;"LBR";450
"361";"Ivory Coast";369;53;92;66;8;149;2017;"CDI";437
"362";"Bolivia";368;45;138;57;-71;200;2017;"BOL";145
"363";"Nepal";367;37;88;69;33;140;2017;"NEP";790
"364";"Turkmenistan";363;59;75;40;17;173;2017;"TKM";701
"365";"Senegal";350;57;94;74;64;62;2017;"SEN";433
"366";"Guinea";348;37;85;57;30;139;2017;"GUI";438
"367";"Democratic Republic of the Congo";346;55;131;98;-26;87;2017;"DRC";490
"368";"Papua New Guinea";344;47;77;62;39;120;2017;"PNG";910
"369";"Angola";342;51;85;67;45;95;2017;"ANG";540
"370";"Congo";341;47;100;65;-14;144;2017;"CON";484
"371";"Marshall Islands";337;43;46;40;71;137;2017;"MSI";983
"372";"Mozambique";329;55;94;57;23;99;2017;"MZM";541
"373";"Tuvalu";328;27;67;42;-18;210;2017;"TUV";947
"374";"Rwanda";320;47;102;76;-14;109;2017;"RWA";517
"375";"Chad";316;41;85;53;10;127;2017;"CHA";483
"376";"Zimbabwe";312;43;85;52;-20;151;2017;"ZIM";552
"377";"Kenya";311;63;87;82;-58;136;2017;"KEN";501
"378";"Niue";305;16;58;45;115;70;2017;NA;NA
"379";"Comoros";299;51;69;47;35;96;2017;"COM";581
"380";"Micronesia (Federated States of)";297;8;85;55;-18;167;2017;NA;NA
"381";"Cambodia";294;61;110;89;-73;108;2017;"CAM";811
"382";"Kiribati";293;35;62;45;6;146;2017;"KIR";946
"383";"Benin";286;37;92;71;12;73;2017;"BEN";434
"384";"Cook Islands";278;22;46;58;121;30;2017;NA;NA
"385";"Papal States";269;39;38;61;61;70;2017;"PAP";327
"386";"Guyana";260;47;62;51;-60;161;2017;"GUY";110
"387";"Yemen";252;53;69;52;71;7;2017;"YEM";679
"388";"Equatorial Guinea";251;24;69;40;42;75;2017;"EQG";411
"389";"Haiti";250;48;85;47;-36;106;2017;"HAI";41
"390";"Belize";246;45;69;43;-37;126;2017;"BLZ";80
"391";"Guinea-Bissau";245;41;85;44;-41;117;2017;"GNB";404
"392";"Myanmar";190;45;102;51;-156;148;2017;"MYA";775
"393";"Central African Republic";190;50;85;35;-105;125;2017;"CEN";482
"394";"Burundi";165;45;93;69;-137;95;2017;"BUI";516
"395";"Kosovo";156;6;87;38;-38;63;2017;"KOS";347
"396";"Eritrea";135;27;77;26;-119;124;2017;"ERI";531
"397";"Palestine (Stateof)";30;12;69;35;-42;-44;2017;NA;NA
"398";"Sudan";-20;45;69;56;-126;-64;2017;"SUD";625
"399";"Somalia";-118;21;54;26;-200;-20;2017;"SOM";520
"400";"South Sudan";-136;6;54;23;-200;-20;2017;"SSD";626
